CITY,STATE_CODE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,LATITUDE,LONGITUDE,WINTER,SPRING,SUMMER,FALL
Birmingham,AL,46.0,53.0,57.0,65.0,65.0,67.0,59.0,62.0,59.0,66.0,55.0,49.0,58.0,33.519,-86.8014,49.333333333333336,62.333333333333336,62.666666666666664,60.0
Montgomery,AL,47.0,55.0,58.0,64.0,63.0,64.0,61.0,61.0,59.0,63.0,55.0,49.0,58.0,32.3743,-86.3118,50.333333333333336,61.666666666666664,62.0,59.0
Anchorage,AK,43.0,46.0,51.0,50.0,51.0,46.0,43.0,43.0,41.0,36.0,35.0,33.0,43.0,61.211571,-149.876077,40.666666666666664,50.666666666666664,44.0,37.333333333333336
Juneau,AK,39.0,35.0,38.0,42.0,44.0,37.0,33.0,35.0,27.0,21.0,26.0,21.0,33.0,58.362767000000005,-134.529429,31.666666666666668,41.333333333333336,35.0,24.666666666666668
Nome,AK,38.0,56.0,54.0,52.0,52.0,43.0,39.0,34.0,38.0,35.0,30.0,36.0,42.0,64.505775,-165.310667,43.333333333333336,52.666666666666664,38.666666666666664,34.333333333333336
Flagstaff,AZ,71.0,73.0,72.0,82.0,83.0,88.0,74.0,75.0,79.0,77.0,72.0,76.0,76.0,35.185911,-111.661979,73.33333333333333,79.0,79.0,76.0
Phoenix,AZ,79.0,81.0,83.0,90.0,93.0,95.0,86.0,87.0,89.0,88.0,79.0,79.0,85.0,33.451,-112.0685,79.66666666666667,88.66666666666667,89.33333333333333,85.33333333333333
Tucson,AZ,80.0,82.0,86.0,92.0,94.0,93.0,80.0,84.0,87.0,88.0,83.0,79.0,85.0,32.213873,-110.969445,80.33333333333333,90.66666666666667,85.66666666666667,86.0
Fort Smith,AR,52.0,56.0,58.0,60.0,63.0,70.0,75.0,70.0,63.0,63.0,51.0,51.0,61.0,35.365272,-94.411035,53.0,60.333333333333336,71.66666666666667,59.0
Little Rock,AR,52.0,63.0,63.0,69.0,78.0,82.0,81.0,79.0,73.0,72.0,56.0,52.0,68.0,34.748342,-92.28193900000001,55.666666666666664,70.0,80.66666666666667,67.0
Fresno,CA,44.0,60.0,74.0,83.0,91.0,93.0,96.0,95.0,93.0,86.0,59.0,44.0,76.0,36.841107,-119.80035900000001,49.333333333333336,82.66666666666667,94.66666666666667,79.33333333333333
Los Angeles,CA,69.0,70.0,70.0,78.0,63.0,63.0,82.0,85.0,74.0,74.0,70.0,71.0,72.0,33.973093,-118.247896,70.0,70.33333333333333,76.66666666666667,72.66666666666667
Sacramento,CA,45.0,62.0,73.0,82.0,92.0,94.0,97.0,96.0,93.0,84.0,61.0,47.0,77.0,38.5816,-121.4933,51.333333333333336,82.33333333333333,95.66666666666667,79.33333333333333
San Diego,CA,74.0,73.0,71.0,72.0,56.0,57.0,70.0,72.0,65.0,70.0,73.0,75.0,69.0,32.71852,-117.15931599999999,74.0,66.33333333333333,66.33333333333333,69.33333333333333
San Francisco,CA,58.0,66.0,71.0,77.0,75.0,69.0,70.0,69.0,73.0,71.0,55.0,55.0,67.0,37.775,-122.4183,59.666666666666664,74.33333333333333,69.33333333333333,66.33333333333333
Denver,CO,71.0,73.0,71.0,71.0,64.0,71.0,71.0,72.0,74.0,71.0,64.0,65.0,69.0,39.840562,-105.007985,69.66666666666667,68.66666666666667,71.33333333333333,69.66666666666667
Grand Junction,CO,59.0,64.0,63.0,69.0,72.0,80.0,78.0,78.0,79.0,71.0,60.0,57.0,69.0,39.078326000000004,-108.54569199999999,60.0,68.0,78.66666666666667,70.0
Pueblo,CO,75.0,77.0,78.0,82.0,79.0,83.0,81.0,81.0,82.0,79.0,73.0,71.0,78.0,38.287876000000004,-104.584828,74.33333333333333,79.66666666666667,81.66666666666667,78.0
Hartford,CT,59.0,61.0,56.0,59.0,58.0,61.0,66.0,63.0,59.0,57.0,47.0,50.0,58.0,41.7636,-72.6855,56.666666666666664,57.666666666666664,63.333333333333336,54.333333333333336
Jacksonville,FL,58.0,61.0,69.0,74.0,71.0,66.0,65.0,63.0,62.0,60.0,63.0,59.0,64.0,30.3163,-81.4175,59.333333333333336,71.33333333333333,64.66666666666667,61.666666666666664
Key West,FL,74.0,76.0,84.0,85.0,82.0,77.0,79.0,78.0,74.0,72.0,71.0,73.0,77.0,24.565313,-81.762179,74.33333333333333,83.66666666666667,78.0,72.33333333333333
Miami,FL,68.0,70.0,74.0,81.0,73.0,73.0,81.0,77.0,75.0,72.0,65.0,66.0,72.0,25.779,-80.1982,68.0,76.0,77.0,70.66666666666667
Pensacola,FL,53.0,56.0,65.0,67.0,64.0,66.0,59.0,56.0,58.0,71.0,63.0,47.0,60.0,30.422282,-87.224763,52.0,65.33333333333333,60.333333333333336,64.0
Tampa,FL,66.0,68.0,75.0,80.0,77.0,70.0,67.0,65.0,65.0,67.0,66.0,62.0,69.0,28.0879,-82.4593,65.33333333333333,77.33333333333333,67.33333333333333,66.0
Atlanta,GA,50.0,56.0,59.0,66.0,65.0,66.0,62.0,62.0,60.0,67.0,61.0,53.0,60.0,33.749788,-84.31685,53.0,63.333333333333336,63.333333333333336,62.666666666666664
Macon,GA,53.0,59.0,66.0,71.0,69.0,68.0,65.0,67.0,62.0,67.0,61.0,56.0,63.0,32.84386,-83.598686,56.0,68.66666666666667,66.66666666666667,63.333333333333336
Savannah,GA,54.0,58.0,62.0,70.0,64.0,62.0,59.0,57.0,56.0,62.0,61.0,53.0,59.0,32.067631,-81.10239399999999,55.0,65.33333333333333,59.333333333333336,59.666666666666664
Hilo,HI,47.0,45.0,39.0,36.0,40.0,45.0,41.0,44.0,47.0,38.0,35.0,37.0,41.0,19.702522000000002,-155.093921,43.0,38.333333333333336,43.333333333333336,40.0
